date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2012-06-15 00:00,1.55266,1.56619,1.54758,1.5646,163595
2012-06-16 00:00,1.56462,1.57256,1.56456,1.57094,19263
2012-06-18 00:00,1.57033,1.5741,1.56366,1.5653,157474
2012-06-19 00:00,1.56532,1.57565,1.56143,1.57297,178030
2012-06-20 00:00,1.57297,1.5777,1.565,1.57093,181636
2012-06-21 00:00,1.57099,1.57545,1.56045,1.56094,213524
2012-06-22 00:00,1.56092,1.56341,1.55564,1.5588,189650
2012-06-23 00:00,1.55881,1.55967,1.5572,1.55803,17094
2012-06-25 00:00,1.5565,1.55938,1.5538,1.55687,130533
2012-06-26 00:00,1.55689,1.565,1.5557,1.56301,173465
2012-06-27 00:00,1.56303,1.56471,1.5545,1.55681,163975
2012-06-28 00:00,1.55683,1.56232,1.54879,1.5496,189196
2012-06-29 00:00,1.54962,1.57063,1.54846,1.56815,224927
2012-06-30 00:00,1.56816,1.57143,1.56594,1.57029,25935
2012-07-02 00:00,1.56952,1.57216,1.5641,1.56816,157741
2012-07-03 00:00,1.56814,1.57202,1.56576,1.5695,164791
2012-07-04 00:00,1.5695,1.56952,1.55736,1.56021,125878
2012-07-05 00:00,1.56021,1.56225,1.54992,1.55302,174138
2012-07-06 00:00,1.553,1.55503,1.546,1.54774,165492
2012-07-07 00:00,1.54775,1.54916,1.54649,1.54844,19508
2012-07-09 00:00,1.54735,1.55301,1.547,1.55113,124352
2012-07-10 00:00,1.55111,1.55486,1.5478,1.55079,157035
2012-07-11 00:00,1.55079,1.55777,1.54993,1.55312,154430
2012-07-12 00:00,1.55307,1.5537,1.53924,1.54212,173426
2012-07-13 00:00,1.54212,1.55586,1.54127,1.55478,165805
2012-07-14 00:00,1.55486,1.55801,1.55486,1.55741,19759
2012-07-16 00:00,1.5576,1.56435,1.55165,1.56246,134598
2012-07-17 00:00,1.56246,1.56774,1.55532,1.56161,174957
2012-07-18 00:00,1.56161,1.56676,1.55809,1.56501,176122
2012-07-19 00:00,1.56501,1.57369,1.56324,1.57202,180397
2012-07-20 00:00,1.57201,1.57271,1.56173,1.56285,174969
2012-07-21 00:00,1.5628,1.56296,1.5611,1.56178,21440
2012-07-23 00:00,1.56235,1.56239,1.54844,1.55212,181030
2012-07-24 00:00,1.55214,1.55513,1.54863,1.55019,193016
2012-07-25 00:00,1.55016,1.5551,1.54581,1.54816,212665
2012-07-26 00:00,1.54814,1.5723,1.54704,1.56762,219987
2012-07-27 00:00,1.56763,1.57671,1.56661,1.57236,202389
2012-07-28 00:00,1.57231,1.57623,1.57094,1.57475,34789
2012-07-30 00:00,1.57354,1.57504,1.56722,1.56914,151883
2012-07-31 00:00,1.56914,1.57297,1.56249,1.56676,183800
2012-08-01 00:00,1.56678,1.56902,1.55825,1.56054,161969
2012-08-02 00:00,1.56054,1.56783,1.54899,1.55055,211684
2012-08-03 00:00,1.55051,1.56564,1.54973,1.56372,184957
2012-08-04 00:00,1.56373,1.56517,1.563,1.56377,16204
2012-08-06 00:00,1.56148,1.56652,1.5546,1.56199,148922
2012-08-07 00:00,1.56205,1.56835,1.55638,1.5644,160639
2012-08-08 00:00,1.5644,1.56765,1.55719,1.56614,159319
2012-08-09 00:00,1.56614,1.56853,1.56052,1.56135,162169
2012-08-10 00:00,1.56134,1.57007,1.55769,1.56727,145155
2012-08-11 00:00,1.56727,1.56918,1.56673,1.5686,13922
2012-08-13 00:00,1.56714,1.57167,1.5656,1.56952,118771
2012-08-14 00:00,1.56948,1.57282,1.56706,1.56871,138835
2012-08-15 00:00,1.56871,1.57011,1.56598,1.56839,123750
2012-08-16 00:00,1.56837,1.57439,1.56359,1.57362,130475
2012-08-17 00:00,1.57363,1.57438,1.56738,1.56922,129204
2012-08-18 00:00,1.5692,1.57038,1.56803,1.56934,11074
2012-08-20 00:00,1.57036,1.57166,1.56773,1.57025,107095
2012-08-21 00:00,1.57025,1.58039,1.57015,1.57872,141401
2012-08-22 00:00,1.57876,1.58181,1.57648,1.57922,127526
2012-08-23 00:00,1.5792,1.59121,1.57914,1.58728,171819
2012-08-24 00:00,1.58724,1.58766,1.58063,1.58316,141336
2012-08-25 00:00,1.58316,1.58334,1.58016,1.58078,12247
2012-08-27 00:00,1.58193,1.5828,1.57914,1.57973,76476
2012-08-28 00:00,1.57972,1.58357,1.57535,1.58305,138390
2012-08-29 00:00,1.58304,1.58547,1.58024,1.58316,116186
2012-08-30 00:00,1.58316,1.58745,1.57808,1.57869,119071
2012-08-31 00:00,1.57868,1.58949,1.577,1.58634,148927
2012-09-01 00:00,1.58633,1.58833,1.5855,1.58644,17333
2012-09-03 00:00,1.58771,1.58979,1.58494,1.58867,93075
2012-09-04 00:00,1.58864,1.5909,1.58584,1.58802,118161
2012-09-05 00:00,1.58802,1.59336,1.58256,1.59095,164085
2012-09-06 00:00,1.59094,1.59422,1.58808,1.59325,156733
2012-09-07 00:00,1.59328,1.60336,1.59216,1.60175,156958
2012-09-08 00:00,1.60176,1.60197,1.59955,1.60097,14446
2012-09-10 00:00,1.60161,1.60174,1.59583,1.60075,105482
2012-09-11 00:00,1.60075,1.60833,1.59808,1.60688,138155
2012-09-12 00:00,1.60688,1.61305,1.60633,1.61067,161850
2012-09-13 00:00,1.61065,1.61542,1.60728,1.6113,126478
2012-09-14 00:00,1.61131,1.6255,1.61086,1.62397,176128
2012-09-15 00:00,1.62397,1.6243,1.62107,1.6215,21287
2012-09-17 00:00,1.62196,1.62728,1.62107,1.62574,102860
2012-09-18 00:00,1.62574,1.62668,1.62209,1.62389,139671
2012-09-19 00:00,1.62389,1.62705,1.61842,1.62212,141284
2012-09-20 00:00,1.62211,1.62356,1.61627,1.61888,144231
2012-09-21 00:00,1.61885,1.63089,1.61858,1.625,148608
2012-09-22 00:00,1.62495,1.6258,1.62249,1.62275,13198
2012-09-24 00:00,1.62347,1.62486,1.61812,1.62037,97167
2012-09-25 00:00,1.62045,1.62672,1.62001,1.62209,122908
2012-09-26 00:00,1.62209,1.62267,1.61369,1.61582,134130
2012-09-27 00:00,1.61584,1.62348,1.61457,1.62216,124253
2012-09-28 00:00,1.62218,1.62717,1.61145,1.61522,158779
2012-09-29 00:00,1.61521,1.61695,1.61226,1.61644,23245
2012-10-01 00:00,1.61458,1.6174,1.61084,1.61373,121719
2012-10-02 00:00,1.61372,1.61863,1.6121,1.61631,128638
2012-10-03 00:00,1.61631,1.61662,1.60682,1.60844,137307
2012-10-04 00:00,1.6084,1.61832,1.6066,1.61823,143032
2012-10-05 00:00,1.61824,1.62164,1.61699,1.61748,133198
2012-10-06 00:00,1.61749,1.61825,1.61224,1.61327,19063
2012-10-08 00:00,1.61324,1.61413,1.60208,1.60314,116148
2012-10-09 00:00,1.60316,1.60457,1.59756,1.59971,136222
2012-10-10 00:00,1.59971,1.60339,1.59758,1.60025,138573
2012-10-11 00:00,1.60023,1.60536,1.59837,1.60434,126643
2012-10-12 00:00,1.60434,1.60963,1.60181,1.60727,127059
2012-10-13 00:00,1.60727,1.60811,1.60637,1.60682,15877
2012-10-15 00:00,1.60709,1.60808,1.60204,1.60671,116395
2012-10-16 00:00,1.60671,1.61315,1.60601,1.61159,136710
2012-10-17 00:00,1.61161,1.61778,1.61081,1.61526,126216
2012-10-18 00:00,1.61527,1.617,1.61156,1.61352,113456
2012-10-19 00:00,1.61352,1.61376,1.59966,1.60059,127472
2012-10-20 00:00,1.60059,1.60156,1.59988,1.59998,14777
2012-10-22 00:00,1.59998,1.60519,1.59899,1.60113,96924
2012-10-23 00:00,1.60115,1.60234,1.5913,1.594,124356
2012-10-24 00:00,1.594,1.60475,1.59296,1.60204,135248
2012-10-25 00:00,1.60198,1.61427,1.6017,1.61245,135090
2012-10-26 00:00,1.61244,1.61405,1.608,1.60874,133556
2012-10-27 00:00,1.60872,1.61043,1.6085,1.61028,15065
2012-10-29 00:00,1.61027,1.61027,1.6006,1.60202,76703
2012-10-30 00:00,1.60201,1.60847,1.60166,1.60795,89983
2012-10-31 00:00,1.60795,1.61361,1.60655,1.61302,113651
2012-11-01 00:00,1.61301,1.61745,1.61205,1.61355,120697
2012-11-02 00:00,1.61356,1.61359,1.60253,1.60268,111285
2012-11-03 00:00,1.6027,1.60441,1.60074,1.6019,17292
2012-11-05 00:00,1.60099,1.60385,1.59569,1.59753,89570
